x1,x2,ambiguity_type
1.6823647294589197,-9.913426853707413,vote tie
1.7230460921843704,-9.913426853707413,vote tie
1.7637274549098212,-9.913426853707413,vote tie
1.804408817635272,-9.913426853707413,vote tie
1.8450901803607227,-9.913426853707413,vote tie
1.8857715430861735,-9.913426853707413,vote tie
1.194188376753507,-9.870541082164328,vote tie
1.2348697394789596,-9.870541082164328,vote tie
1.2755511022044104,-9.870541082164328,vote tie
1.3162324649298611,-9.870541082164328,vote tie
1.3569138276553119,-9.870541082164328,vote tie
1.3975951903807626,-9.870541082164328,vote tie
1.4382765531062134,-9.870541082164328,vote tie
1.4789579158316641,-9.870541082164328,vote tie
1.519639278557115,-9.870541082164328,vote tie
1.5603206412825656,-9.870541082164328,vote tie
1.6010020040080164,-9.870541082164328,vote tie
1.6416833667334672,-9.870541082164328,vote tie
1.6823647294589197,-9.870541082164328,vote tie
1.7230460921843704,-9.870541082164328,vote tie
1.7637274549098212,-9.870541082164328,vote tie
1.804408817635272,-9.870541082164328,vote tie
1.8450901803607227,-9.870541082164328,vote tie
1.1535070140280563,-9.827655310621243,vote tie
1.194188376753507,-9.827655310621243,vote tie
1.2348697394789596,-9.827655310621243,vote tie
1.2755511022044104,-9.827655310621243,vote tie
1.3162324649298611,-9.827655310621243,vote tie
1.3569138276553119,-9.827655310621243,vote tie
1.3975951903807626,-9.827655310621243,vote tie
1.4382765531062134,-9.827655310621243,vote tie
1.4789579158316641,-9.827655310621243,vote tie
1.519639278557115,-9.827655310621243,vote tie
1.5603206412825656,-9.827655310621243,vote tie
1.6010020040080164,-9.827655310621243,vote tie
1.6416833667334672,-9.827655310621243,vote tie
1.6823647294589197,-9.827655310621243,vote tie
1.7230460921843704,-9.827655310621243,vote tie
1.7637274549098212,-9.827655310621243,vote tie
1.804408817635272,-9.827655310621243,vote tie
1.1128256513026056,-9.784769539078155,vote tie
1.1535070140280563,-9.784769539078155,vote tie
1.194188376753507,-9.784769539078155,vote tie
1.2348697394789596,-9.784769539078155,vote tie
1.2755511022044104,-9.784769539078155,vote tie
1.3162324649298611,-9.784769539078155,vote tie
1.3569138276553119,-9.784769539078155,vote tie
1.3975951903807626,-9.784769539078155,vote tie
1.4382765531062134,-9.784769539078155,vote tie
1.4789579158316641,-9.784769539078155,vote tie
