family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,12,157
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,13,115
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,14,188
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,15,51
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,16,107
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,17,211
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,18,132
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,19,248
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,20,222
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,21,48
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,22,100
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,23,66
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,24,88
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,25,192
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,26,123
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,27,133
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,28,34
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,29,39
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,30,185
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,31,32
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,32,28
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,33,53
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,34,132
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,35,89
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,36,24
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,37,31
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,38,144
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,39,152
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,40,38
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,41,36
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,42,51
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,43,63
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,44,96
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,45,51
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,46,31
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,47,43
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,48,64
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,49,59
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,50,24
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,51,38
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,52,36
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,53,103
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,54,39
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,55,119
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,56,84
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,57,29
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,58,51
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,59,77
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,60,46
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,61,39
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,62,59
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,63,32
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,64,43
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,65,38
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,66,58
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,67,23
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,68,36
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,69,31
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,70,72
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,71,53
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,72,29
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,73,32
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,74,76
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,75,38
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,76,43
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,77,39
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,78,32
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,79,40
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,80,42
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,1,3189
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,2,240
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,3,744
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,4,211
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,5,1063
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,6,223
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,7,171
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,8,229
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,9,250
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,10,105
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,11,222
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,12,112
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,13,148
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,14,62
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,15,158
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,16,69
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,17,249
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,18,229
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,19,316
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,20,114
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,21,49
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,22,86
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,23,45
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,24,29
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,25,101
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,26,124
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,27,51
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,28,171
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,29,125
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,30,158
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,31,69
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,32,58
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,33,78
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,34,61
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,35,96
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,36,32
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,37,82
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,38,95
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,39,25
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,40,65
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,41,20
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,42,93
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,43,26
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,44,87
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,45,45
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,46,61
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,47,37
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,48,134
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,49,119
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,50,53
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,51,53
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,52,63
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,53,88
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,54,93
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,55,31
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,56,25
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,57,41
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,58,42
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,59,46
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,60,47
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,61,54
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,62,31
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,63,81
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,64,43
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,65,74
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,66,21
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,67,45
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,68,47
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,69,44
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,70,125
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,71,49
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,72,55
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,73,71
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,74,23
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,75,83
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,76,51
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,77,39
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,78,38
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,79,28
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,42,80,30
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,1,2438
