index,family,parameter_name,parameter_value,alpha,episode,mean,median,std_steps
164,n_step_sarsa,n,5.000,0.500,65,25.000,23.000,4.359
165,n_step_sarsa,n,5.000,0.500,66,24.000,25.000,2.646
166,n_step_sarsa,n,5.000,0.500,67,32.000,29.000,8.888
167,n_step_sarsa,n,5.000,0.500,68,28.000,26.000,8.185
168,n_step_sarsa,n,5.000,0.500,69,27.667,27.000,5.033
169,n_step_sarsa,n,5.000,0.500,70,24.667,23.000,3.786
170,n_step_sarsa,n,5.000,0.500,71,21.000,21.000,1.000
171,n_step_sarsa,n,5.000,0.500,72,20.000,20.000,2.000
172,n_step_sarsa,n,5.000,0.500,73,22.667,19.000,7.234
173,n_step_sarsa,n,5.000,0.500,74,134.667,26.000,189.951
174,n_step_sarsa,n,5.000,0.500,75,31.333,24.000,18.148
175,n_step_sarsa,n,5.000,0.500,76,47.000,24.000,43.347
176,n_step_sarsa,n,5.000,0.500,77,23.000,21.000,3.464
177,n_step_sarsa,n,5.000,0.500,78,28.333,27.000,7.095
178,n_step_sarsa,n,5.000,0.500,79,23.333,23.000,3.512
179,n_step_sarsa,n,5.000,0.500,80,38.667,34.000,13.614
180,n_step_sarsa,n,5.000,0.500,81,23.667,21.000,6.429
181,n_step_sarsa,n,5.000,0.500,82,25.000,24.000,1.732
182,n_step_sarsa,n,5.000,0.500,83,40.333,36.000,24.786
183,n_step_sarsa,n,5.000,0.500,84,26.667,18.000,15.011
184,n_step_sarsa,n,5.000,0.500,85,18.667,19.000,0.577
185,n_step_sarsa,n,5.000,0.500,86,23.000,20.000,7.000
186,n_step_sarsa,n,5.000,0.500,87,21.667,24.000,4.041
187,n_step_sarsa,n,5.000,0.500,88,27.667,30.000,5.859
188,n_step_sarsa,n,5.000,0.500,89,22.333,22.000,1.528
189,n_step_sarsa,n,5.000,0.500,90,21.667,21.000,1.155
190,n_step_sarsa,n,5.000,0.500,91,24.333,25.000,1.155
191,n_step_sarsa,n,5.000,0.500,92,39.333,27.000,26.727
192,n_step_sarsa,n,5.000,0.500,93,186.333,29.000,278.593
193,n_step_sarsa,n,5.000,0.500,94,31.000,25.000,14.933
194,n_step_sarsa,n,5.000,0.500,95,33.000,34.000,1.732
195,n_step_sarsa,n,5.000,0.500,96,26.667,28.000,3.215
196,n_step_sarsa,n,5.000,0.500,97,33.000,34.000,13.528
197,n_step_sarsa,n,5.000,0.500,98,30.333,30.000,13.503
198,n_step_sarsa,n,5.000,0.500,99,66.667,31.000,74.232
199,n_step_sarsa,n,5.000,0.500,100,33.667,35.000,10.066
200,n_step_sarsa,n,10.000,0.500,1,6659.667,7147.000,963.367
201,n_step_sarsa,n,10.000,0.500,2,2754.000,958.000,3369.471
