family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,85,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,86,21
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,87,45
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,88,34
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,89,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,90,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,91,34
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,92,20
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,93,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,94,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,95,22
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,96,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,97,42
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,98,42
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,99,20
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,100,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,1,2007
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,2,278
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,3,301
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,4,2672
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,5,61
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,6,212
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,7,262
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,8,40
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,9,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,10,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,11,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,12,22
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,13,22
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,14,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,15,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,16,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,17,33
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,18,110
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,19,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,20,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,21,38
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,22,26
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,23,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,24,22
